iter	Passed	Remaining
572	2571	1915
573	2573	1910
574	2576	1904
575	2579	1898
576	2581	1892
577	2590	1891
578	2601	1891
579	2605	1886
580	2606	1879
581	2609	1874
582	2613	1869
583	2622	1868
584	2624	1862
585	2626	1855
586	2628	1849
587	2629	1842
588	2631	1836
589	2638	1833
590	2644	1830
591	2646	1823
592	2647	1817
593	2650	1811
594	2652	1805
595	2656	1800
596	2657	1794
597	2660	1788
598	2661	1781
599	2663	1775
600	2758	1831
601	2767	1829
602	2773	1825
603	2775	1819
604	2777	1813
605	2778	1806
606	2781	1800
607	2784	1795
608	2786	1789
609	2788	1782
610	2789	1776
611	2791	1769
612	2792	1762
613	2793	1756
614	2795	1749
615	2798	1744
616	2799	1737
617	2802	1732
618	2804	1726
619	2805	1719
620	2807	1713
621	2808	1706
622	2810	1700
623	2811	1694
624	2832	1699
625	2835	1693
626	2837	1687
627	2839	1682
628	2842	1676
629	2845	1670
630	2848	1665
631	2850	1659
632	2853	1654
633	2855	1648
634	2858	1642
635	2867	1641
636	2870	1635
637	2871	1629
638	2873	1623
639	2874	1617
640	2876	1610
641	2881	1606
642	2884	1601
643	2886	1595
644	2888	1589
645	2891	1584
646	2893	1578
647	2895	1572
648	2899	1567
649	2901	1562
650	2903	1556
651	2904	1550
652	2906	1544
653	2907	1538
654	2909	1532
655	2911	1526
656	2912	1520
657	2913	1514
658	2915	1508
659	2917	1502
660	2918	1496
661	2919	1490
662	2921	1484
663	2924	1480
664	2927	1474
665	2930	1469
666	2932	1464
667	2936	1459
668	2939	1454
669	2942	1449
670	2945	1444
671	2947	1438
672	2951	1433
673	2953	1428
674	2965	1427
675	2968	1422
676	2970	1417
677	2973	1412
678	2975	1406
679	2978	1401
680	2981	1396
681	3012	1404
682	3014	1399
683	3016	1393
684	3018	1387
685	3019	1382
686	3021	1376
687	3023	1370
688	3024	1365
689	3026	1359
690	3027	1353
691	3030	1348
692	3032	1343
693	3043	1342
694	3046	1337
695	3049	1331
696	3052	1326
697	3054	1321
698	3057	1316
699	3060	1311
700	3063	1306
701	3066	1301
702	3068	1296
703	3071	1291
704	3074	1286
705	3075	1280
706	3078	1275
707	3082	1271
708	3083	1265
709	3085	1260
710	3086	1254
711	3087	1248
712	3089	1243
713	3090	1237
714	3092	1232
715	3093	1227
716	3095	1221
717	3096	1216
718	3103	1212
719	3105	1207
720	3106	1202
721	3108	1196
722	3109	1191
723	3111	1186
724	3113	1180
725	3114	1175
726	3116	1170
727	3119	1165
728	3120	1160
729	3122	1154
730	3124	1149
731	3125	1144
732	3127	1139
733	3129	1134
734	3130	1128
735	3131	1123
736	3133	1118
737	3135	1112
738	3158	1115
739	3161	1110
740	3164	1106
741	3203	1113
742	3208	1109
743	3210	1104
744	3215	1100
745	3219	1096
746	3222	1091
747	3231	1088
748	3236	1084
749	3238	1079
750	3241	1074
751	3243	1069
752	3245	1064
753	3247	1059
754	3249	1054
755	3250	1049
756	3251	1043
757	3254	1039
758	3352	1064
759	3355	1059
760	3356	1054
761	3358	1048
762	3359	1043
763	3362	1038
764	3364	1033
765	3471	1060
766	3473	1055
767	3479	1051
768	3482	1045
769	3484	1040
770	3485	1035
771	3488	1030
772	3491	1025
773	3493	1020
774	3496	1014
775	3510	1013
776	3528	1012
777	3537	1009
778	3540	1004
779	3542	999
780	3547	994
781	3550	989
782	3627	1005
783	3629	999
784	3631	994
785	3633	989
786	3635	984
787	3661	985
788	3679	984
789	3691	981
790	3694	976
791	3697	971
792	3700	966
793	3703	960
794	3704	955
795	3707	950
796	3709	944
797	3712	939
798	3715	934
799	3717	929
800	3719	924
801	3723	919
802	3727	914
803	3730	909
804	3732	904
805	3735	899
806	3737	893
807	3740	888
808	3742	883
809	3745	878
810	3747	873
811	3749	868
812	3752	863
813	3754	857
814	3757	852
815	3759	847
816	3762	842
817	3764	837
818	3767	832
819	3769	827
820	3771	822
821	3774	817
822	3779	812
823	3785	808
824	3788	803
825	3790	798
826	3793	793
827	3795	788
828	3797	783
829	3800	778
830	3802	773
831	3805	768
832	3807	763
833	3809	758
834	3812	753
835	3814	748
836	3818	743
837	3821	738
838	3824	733
839	3827	728
840	3829	724
841	3832	719
842	3835	714
843	3837	709
844	3840	704
845	3843	699
846	3846	694
847	3848	689
848	3851	685
849	3854	680
850	3856	675
851	3858	670
852	3861	665
853	3864	660
854	3866	655
855	3869	650
856	3871	646
857	3874	641
858	3876	636
859	3879	631
860	3881	626
861	3883	621
862	3885	616
863	3888	612
864	3890	607
865	3892	602
866	3895	597
867	3897	592
868	3899	587
869	3902	583
870	3905	578
871	3908	573
872	3912	569
873	3916	564
874	3922	560
875	3925	555
876	3928	550
877	3931	546
878	3937	542
879	3940	537
880	3943	532
881	3945	527
882	3948	523
883	3951	518
884	3953	513
885	3956	509
886	3958	504
887	3973	501
888	3975	496
889	3978	491
890	3980	486
891	3983	482
892	3986	477
893	3988	472
894	3991	468
895	3994	463
896	3996	458
897	3999	454
898	4001	449
899	4002	444
900	4006	440
901	4008	435
902	4009	430
903	4011	426
904	4013	421
905	4014	416
906	4015	411
907	4017	407
908	4021	402
909	4023	397
910	4028	393
911	4029	388
912	4031	384
913	4032	379
914	4034	374
915	4035	370
916	4036	365
917	4038	360
918	4039	356
919	4040	351
920	4042	346
921	4045	342
922	4046	337
923	4048	333
924	4050	328
925	4051	323
926	4053	319
927	4054	314
928	4055	309
929	4056	305
930	4058	300
931	4059	296
932	4061	291
933	4062	287
934	4064	282
935	4065	277
936	4067	273
937	4069	268
938	4070	264
939	4071	259
940	4073	255
941	4074	250
942	4076	246
943	4077	241
944	4079	237
945	4081	232
946	4084	228
947	4086	224
948	4089	219
949	4091	215
950	4094	210
951	4096	206
952	4099	202
953	4101	197
954	4104	193
955	4107	189
956	4109	184
957	4113	180
958	4116	175
959	4119	171
960	4122	167
961	4124	162
962	4127	158
963	4129	154
964	4132	149
965	4135	145
966	4137	141
967	4140	136
968	4143	132
969	4145	128
970	4170	124
971	4172	120
972	4173	115
973	4175	111
974	4177	107
975	4178	102
976	4181	98
977	4182	94
978	4184	89
979	4185	85
980	4188	81
981	4189	76
982	4190	72
983	4195	68
984	4197	63
985	4199	59
986	4200	55
987	4202	51
988	4203	46
989	4205	42
990	4206	38
991	4207	33
992	4209	29
993	4210	25
994	4212	21
995	4214	16
996	4215	12
997	4217	8
998	4218	4
999	4219	0
